date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:18:35	17058/17058	---M-Z	200	added ('OK')	text/html	date:Fri,%2021%20Aug%202020%2009:18:40%20GMT	https://bemudayana.id/kontak.html	C:/My%20Web%20Sites/bem/bemudayana.id/kontak.html	(from https://bemudayana.id/)
10:18:36	22541/22541	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Mar%202021%2002:18:36%20GMT	https://bemudayana.id/mainpage/blog-page.php	C:/My%20Web%20Sites/bem/bemudayana.id/mainpage/blog-page.html	(from https://bemudayana.id/)
10:18:36	3414/3414	---M-Z	200	added ('OK')	text/html	date:Fri,%2021%20Aug%202020%2009:18:40%20GMT	https://bemudayana.id/perekrutan_terbuka.html	C:/My%20Web%20Sites/bem/bemudayana.id/perekrutan_terbuka.html	(from https://bemudayana.id/)
10:18:36	18919/18919	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Mar%202021%2002:18:37%20GMT	https://bemudayana.id/lembaga_mahasiswa.php	C:/My%20Web%20Sites/bem/bemudayana.id/lembaga_mahasiswa.html	(from https://bemudayana.id/)
10:18:36	16632/16632	---M-Z	200	added ('OK')	text/html	date:Wed,%2024%20Mar%202021%2002:18:37%20GMT	https://bemudayana.id/ukm.php	C:/My%20Web%20Sites/bem/bemudayana.id/ukm.html	(from https://bemudayana.id/)
10:18:36	17294/17294	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Mar%202021%2002:18:37%20GMT	https://bemudayana.id/paguyuban.php	C:/My%20Web%20Sites/bem/bemudayana.id/paguyuban.html	(from https://bemudayana.id/)
10:18:37	10677/10677	---M-Z	200	added ('OK')	text/html	date:Fri,%2021%20Aug%202020%2009:18:40%20GMT	https://bemudayana.id/asrama.html	C:/My%20Web%20Sites/bem/bemudayana.id/asrama.html	(from https://bemudayana.id/)
10:18:37	2090/2090	---M-Z	200	added ('OK')	image/svg+xml	date:Sat,%2004%20Apr%202020%2006:23:29%20GMT	https://bemudayana.id/bem_images/spirit/karsa.svg	C:/My%20Web%20Sites/bem/bemudayana.id/bem_images/spirit/karsa.svg	(from https://bemudayana.id/)
10:18:38	3866/3866	---M-Z	200	added ('OK')	image/svg+xml	date:Sat,%2004%20Apr%202020%2006:23:29%20GMT	https://bemudayana.id/bem_images/spirit/ruang.svg	C:/My%20Web%20Sites/bem/bemudayana.id/bem_images/spirit/ruang.svg	(from https://bemudayana.id/)
10:18:38	3456/3456	---M-Z	200	added ('OK')	image/svg+xml	date:Sat,%2004%20Apr%202020%2006:23:29%20GMT	https://bemudayana.id/bem_images/spirit/karya.svg	C:/My%20Web%20Sites/bem/bemudayana.id/bem_images/spirit/karya.svg	(from https://bemudayana.id/)
10:18:40	448247/448247	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Aug%202020%2015:33:28%20GMT	https://bemudayana.id/bem_images/a1.png	C:/My%20Web%20Sites/bem/bemudayana.id/bem_images/a1.png	(from https://bemudayana.id/)
10:18:40	176895/176895	---M--	200	added ('OK')	image/jpeg	date:Thu,%2020%20Aug%202020%2007:30:28%20GMT	https://bemudayana.id/bem_images/dekat.jpg	C:/My%20Web%20Sites/bem/bemudayana.id/bem_images/dekat.jpg	(from https://bemudayana.id/)
10:18:40	11925/11925	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Mar%202021%2002:18:40%20GMT	https://bemudayana.id/mainpage/blogposts/single-page.php?slug=Info-KKN-PPM-Universitas-Udayana-Periode-XXII-Januari---Maret-2021	C:/My%20Web%20Sites/bem/bemudayana.id/mainpage/blogposts/single-pagefefb.html	(from https://bemudayana.id/)
10:18:41	12358/12358	---M-Z	200	added ('OK')	text/html	date:Wed,%2024%20Mar%202021%2002:18:41%20GMT	https://bemudayana.id/mainpage/blogposts/single-page.php?slug=-Info-Pengambilan-Toga-Wisuda-Universitas-Udayana-Ke-138-	C:/My%20Web%20Sites/bem/bemudayana.id/mainpage/blogposts/single-page3934.html	(from https://bemudayana.id/)
10:18:43	16636/16636	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Mar%202021%2002:18:42%20GMT	https://bemudayana.id/mainpage/blogposts/single-page.php?slug=Esensi-Budaya-Bercocok-Tanam-Masyarakat-Bali-Sejak-Masa-Lampau-Hingga-Menjadi-Concern-Baru-di-Era-New-Normal	C:/My%20Web%20Sites/bem/bemudayana.id/mainpage/blogposts/single-page57d7.html	(from https://bemudayana.id/)
10:18:47	528452/528452	---M--	200	added ('OK')	image/jpeg	date:Sun,%2011%20Oct%202020%2021:56:07%20GMT	https://bemudayana.id/admin.bemudayana.id/dashboard/dist/assets/img/wisuda%20bulan%20ini-01.jpg	C:/My%20Web%20Sites/bem/bemudayana.id/admin.bemudayana.id/dashboard/dist/assets/img/wisuda%20bulan%20ini-01.jpg	(from https://bemudayana.id/)
10:18:49	30862/30862	---M--	200	added ('OK')	image/png	date:Thu,%2020%20Aug%202020%2007:28:57%20GMT	https://bemudayana.id/bem_images/sosial/instagram.png	C:/My%20Web%20Sites/bem/bemudayana.id/bem_images/sosial/instagram.png	(from https://bemudayana.id/)
10:18:49	487471/487471	---M--	200	added ('OK')	image/jpeg	date:Wed,%2007%20Oct%202020%2015:40:28%20GMT	https://bemudayana.id/admin.bemudayana.id/dashboard/dist/assets/img/jembud%203-01.jpg	C:/My%20Web%20Sites/bem/bemudayana.id/admin.bemudayana.id/dashboard/dist/assets/img/jembud%203-01.jpg	(from https://bemudayana.id/)
10:18:49	13575/13575	---M--	200	added ('OK')	image/png	date:Thu,%2020%20Aug%202020%2007:28:58%20GMT	https://bemudayana.id/bem_images/sosial/twitter.png	C:/My%20Web%20Sites/bem/bemudayana.id/bem_images/sosial/twitter.png	(from https://bemudayana.id/)
